0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 1111	1
0000 0000 0000 0000	0000 0000 0000 1111	0
0000 0000 0000 0000	0000 0000 0000 1111	1
0000 0000 0000 0000	0000 0000 0000 1111	0
0000 0000 0000 1001	0000 0000 0000 1111	1
0000 0000 0000 1001	0000 0000 0000 1111	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 0000	1
0000 0000 0000 0000	0000 0000 0000 0000	0
0000 0000 0000 1111	0000 0000 0000 1111	1
0000 0000 0000 1111	0000 0000 0000 1111	0
0000 0000 0000 1111	0000 0000 0000 0000	1
0000 0000 0000 1111	0000 0000 0000 0000	0
0000 0000 0000 1001	0000 0000 0000 0000	1
0000 0000 0000 1001	0000 0000 0000 0000	0
0000 0000 0000 0000	0000 0000 0000 1111	1
